card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,rating-badge,light,objective,objective 2,readMoreSmall
11. Sri Govindarajaswami Temple,Previous,Next,1.0,2.0,3.0,4.0,,,0 km from city center,Temple,"Sri Govindarajaswami Temple is a 12th century Hindu Vaishnavite shrine built by Saint Ramanujacharya and is one of the biggest temple complexes in the district. The presiding deity is Lord Vishnu, also called Govindarajaswami. The beautiful traditional Dravidian architecture and its rich culture attract tourists in quite a large number every year."
12. Sri Varahaswami Temple,Previous,Next,1.0,2.0,,,3.1,/5,10 km from city center,Temple,"Standing to the north of Sri Venkateswara Temple is the Sri Varahaswami Temple which according to a lot, is said to belong to Sri Adi varahaswami. Various legends surround this temple."
13. Sri Venugopalaswami Temple,,,1.0,,,,3.1,/5,24 km from city center,Temple,"A little away from the city of Tirupati, this temple is devoted to Lord Venugopalan. With the highlights being an idol of Sri Sita Ramula Pattabhishekam, it's a must visit area, when in Tirupati."
14. Nellore,Previous,Next,1.0,2.0,3.0,4.0,3.1,/5,12 km from city center,Beach,"Located 130km southwest of Tirupati is the fascinating city of Nellore. Nellore is known for its pristine and clean beaches, the most notable ones being Kodur(You can boat here and catch a fish if lucky! Velangani Maatha Church lies next to the sea shore."
15. ISKCON Tirupati,Previous,Next,1.0,2.0,,,,,2 km from city center,Temple,"Located at the foothills of Tirumala Hills, ISKCON Tirupati is one of the most famous pilgrimages in the city. Srila Prabhupada, during his visit in 1974, suggested the teachings from Bhagwad Geeta be propagated by establishing a centre of Vedic Culture. ISKCON Tirupati was thus established in 1982 to revive the messages of Lord Krishna. It is believed to be the only way to bring about peace and h"
16. Tumburu Teertham,Previous,Next,1.0,2.0,,,,,8 km from city center,Temple,Tumbhuru Teertham is a sacred lake located amidst dense natural vegetation. The waters are believed to have magical powers and can absolve one's sins and help them attain moksha. The attraction is also famous for its natural beauty and is frequented by nature lovers for nature walks.
"17. Deer Park, Tirupati",,,1.0,,,,,,5 km from city center,Deer Park,"Located amidst the beautiful natural surroundings, the Deer Park is a splendid escape from the routine for nature and animal lovers. The park houses a large number of deer and other regional flora and fauna. Tourists on their way to Tirumala often take a pit stop here and spend a few hours in the company of the deer, feed them and also watch them thrive in their natural habitat."
18. Kapila Teertham,Previous,Next,1.0,2.0,3.0,4.0,,,2 km from city center,Temple,"A Shaivite temple, Kapila Teertham is a famous pilgrimage in the city. The temple is located at the entrance of a mountain cave at the foothills of Tirumala Hills and is a marvellous example of Dravidian architecture. The presiding deity is Lord Shiva who is locally known as Lord Kapileshwara. The idol of the deity was installed by Kapila Muni."
19. Talakona Waterfall,,,1.0,,,,,,30 km from city center,Waterfall,"Located in Sri Venkateswara National Park, Talakona Waterfall is the highest waterfall in the region and a famous picnic spot. The water is believed to have medicinal properties and comes from an unknown underground stream. The attraction is also famous for trekking and has several trekking routes running around it amidst the scenic natural surroundings."
"20. Rock Garden, Tirupati",,,1.0,,,,,,11 km from city center,Garden & Park,"Also known as Silathoranam, the Rock Garden in the city is a natural stone formation in the shape of an arch. It is a Pre-Cambrian natural formation and is the only such found on the continent. Many believe that it is over this arch that Lord Venkateswara walked while he was on his way to Tirumala from Vaikunt. It is a protected monument and tourists visit in large numbers to see this natural form"
21. Japali Teertham,Previous,Next,1.0,2.0,3.0,,,,12 km from city center,Temple,Japali Teertham is dedicated to Lord Hanuman and is situated amidst dense forests. It is believed that Lord Hanuman used to visit the location often to quiet his kind and soak in peace. It is also believed that Lord Rama and Goddess Sita stayed here. The water of the Teertham is said to have magical powers and can wash away all the sins a human has made.
22. Papavinasam Theertham,Previous,Next,1.0,2.0,,,,,3 km from city center,Temple,Papavinasam Teertham is a sacred attraction in the region. Taking a dip in the holy waters of the teertham is considered to absolve one of their sins. The attraction also is famous for its scenic beauty. The route that leads to Papavinasam Teertham goes through uneven rocky trails amidst beautiful surroundings making it a perfect location for nature walks.
23. Chandragiri Palace & Fort,,,1.0,,,,,,13 km from city center,Forts & Palaces,Chandragiri Palace & Fort is an 11th century monument built by the Yadav Naidu Kings and is also associated with the Vijayanagara Kingdom. The stunning structure is a perfect example of Vijayanagara architecture. Tourists are drawn by its rich history and heritage value. The attraction has fortnightly light and sound shows and the annual celebration of Madras Day.
24. Sri Bedi Ananjaneyaswami Temple,Previous,Next,1.0,2.0,,,,,10 km from city center,Temple,Sri Bedi Ananjaneyaswami Temple is dedicated to Lord Hanuman. A legend states that Lord Hanuman wanted to go searching for a Camel but his mother tied him with bedis and went back to Akash Ganga. Many believe Lord Hanuman can be seen even today standing at that very location.
25. Chakra Teertham Waterfalls,Previous,Next,1.0,2.0,,,,,11 km from city center,Waterfall,Chakra Teertham Waterfalls is a famous water body considered to have high religious importance. It is believed that Lord Brahma performed penance at this location which was later cleansed by Lord Vishnu with his Sudarshan Chakra. The place where his Chakra fell is known as Chakra Teertham. The water is said to have healing powers and can absolve one of their sins.
26. Sri Venkateswara National Park,,,1.0,,,,,,6 km from city center,National Park,"Sri Venkateswara National Park is a bioreserve that occupies over 350 square kilometres of the area on the Eastern Ghats of India. The park is well known for several waterfalls and a high level of biodiversity. It has fantastic topographical features and natural landscape, hence is a favourite attraction for nature and animal lovers."
27. Srivari Museum,,,1.0,,,,,,10 km from city center,Museum,"Sri Vari Museum is a famous attraction to get a glimpse into the religious history of the region. The museum has an impressive collection of artefacts that give insights into the ancient history and architecture of the temple that includes sculptures, photographs, scriptures, temple and pooja utensils, etc."
28. Sri Veda Nayaranaswami Temple,,,,,,,,,49 km from city center,Temple,"Sri Veda Nayaranaswami Temple is dedicated to the supreme God, Lord Vishnu. It is one of the few temples in the country that depict the incarnations of Lord Vishnu whose prime form, Matsya or the fish is also depicted. This is the place where Vishnu defeated demon Somaka and took the form of a fish to retrieve the Vedas thrown in the water by the demon."
29. Srivari Padalu,,,1.0,,,,,,11 km from city center,Temple,"Situated on top of Narayangiri Hill amidst beautiful scenery, Srivari Padalu is believed to be the place where Lord Narayan first set his foot on earth. It is an important pilgrimage and visitors flock in large numbers to offer prayers to the footprints of Lord Narayan."
"30. Regional Science Centre, Tirupati",,,1.0,,,,,,3 km from city center,Landmark,"Regional Science Centre is a famous planetarium built with latest digital technology. They have a marvellous sky observation deck, galleries, parks and equipment of the highest quality. The centre also holds several demonstrations, exhibitions and shows in schools and institutes through their mobile science exhibition."
31. Kanipakam,Previous,Next,1.0,2.0,3.0,4.0,,,29 km from city center,Town,"Kanipakam is a village in the district most famous for the Kanipakam Vinayak Temple, built in the 11th century by King Mahavarman Sundara Pandian and for the Shiva Temple which was built by King Kullotunga Chola. The rich religious significance of the temples and the stunning ancient architecture attracts visitors in large numbers each year."
32. Vaikuntha Teertham,Previous,Next,1.0,2.0,3.0,,,,112 km from city center,Temple,"Considered a sacred waterfall, Vaikuntha Teertham is associated with the legend of Ramayana. It is believed that Lord Rama's vanarsena located the teertham. A dip in the holy waters is considered to bring luck, good fortune and absolve one of their sins."
33. Sri Kalyana Venkateswaraswami Temple,,,1.0,,,,,,1 km from city center,Temple,"Sri Kalyana Venkateswaraswami Temple is an ancient Vaishnavite temple, also considered an archaeologically important monument in India. The presiding deity is Lord Venkateswara, who is considered to be highly powerful and can absolve one of their sins, doshas and get rid of any obstacles they face in their lives."
34. Nagalapuram,Previous,Next,1.0,2.0,3.0,4.0,,,49 km from city center,Town,"Hidden like a jewel behind the lush green forests of Andhra Pradesh lies a serene and tranquil place named Nagalapuram.  Also known as Nagala Hills, it is famous for its various adventurous activities. Nagalpuram is also known for housing the Nagalpuram Falls. A group of 3 waterfalls, it offers a great trekking opportunity and a stunning panoramic view."
35. Sri Prasanna Venkateswaraswami Temple,Previous,Next,1.0,2.0,,,,,12 km from city center,Temple,"Sri Prasanna Venkateswaraswami Temple is an ancient shrine dedicated to Lord Venkateswara. The Dravidian temple architecture, the magnificent idol of the presiding deity and the divine vibe attract visitors daily. It is a believed that offering prayers to the deity here relieves one of doshas or sins and removes obstacles one faces while achieving their goals."
36. Kapila Theertham,,,1.0,,,,,,3 km from city center,Waterfall,"At a distance of 4 kms from the city centre, Kapila Theertham is a popular waterfalls situated inside the premises of Kapileswara Swamy Temple at the base of Sheshadari Hills. The water cascading down of 100 metres to form a pool at the base is a gorgeously enchanting sight to see."
37. Highway Grand World,,,,,,,,,41 km from city center,Amusement & Theme Park,"Situated on Chennai - Thiruttani - Renigunta Hwy, Veerakaverirajupuram near Tirupati, Highway Grand World is a grand water park in Tirupati. The water park also hosts private parties, weddings, work gatherings and school group trips."
38. Teppotsavam,,,,,,,,,,Fairs & Festivals,"Tirumala Tirupati Teppotsavam otherwise called as the float festival is one of the most popular boat festival held at the Krishna Temple at Tirupati. Falling every year in the month of Chaitra (March) according to the Hindu Calendar, the celebrations are held on a grand scale for five days. Amidst the chants hailing Lord Govinda, the Teppotsavam is a spectacular display of culture, religion, tradi"
39. Brahmotsavam Festival in Tirupati,,,,,,,,,,Fairs & Festivals,"The Brahmotsavam Festival in Tirumala, Tirupati, is one of the most significant and grandly celebrated Hindu festivals in India. Dedicated to Lord Venkateswara, this nine-day festival takes place at the Sri Venkateswara Temple and is considered the biggest annual event in Tirupati. Thousands of devotees from across the country flock to Tirumala to witness the divine processions, rituals, and vahan"
40. Kodandarama Swamy Temple,,,,,,,,,1 km from city center,Temple,"The Sri Kodandarama Swamy Temple or Kodandarama Temple is a temple in the heart of Tirupati, dedicated to Lord Rama. The Varaha Purana suggests that Lord Rama, Sita Devi and Lakshmana stayed here when returning to Ayodhya from Lanka. Built by the Cholas in tenth century CE, this temple commemorates their stay here. While Ugadi and Ram Navami are celebrated on a grander scale, Brahmotsav is also ce"
