destTitle,destTitleType,text-overlap-extn,destDesc,destDesc 2,destDesc 3,destSubHead,destSubText,destSubHead 2,destSubText 2,destTitle 2,destTitleType 2
Kailasakona Waterfalls,Waterfall,#11 of 24 Places to Visit in Tirupati,"At a distance of 13 km from Puttur, 25 km from Nagari, 46 km from Tirupati, 92 km from Chennai, 76 from Chittoor, 86 km from , 85 km from kanchipuram and 110 km from Vellore, Kailasakona Waterfalls are a natural perennial waterfall in the valley of Nagari hills in Chittoor District. The water originates from the split in a mass rock.The height of the waterfalls is about 30 meters and it cascades down into a small pond below the rock. The water here is crystal clear having considerable mineral values & medicinal powers and can heal ailments. The tourists are not allowed to go uphill to the top of the falls.There is a small temple of Lord Shiva and Parvati near the waterfall. According to the legend, Lord Kailasanatheswara Swamy came down to earth to attend the marriage of Lord Venkateswara Swami with Goddess Padmavathi at Narayanavanam which is 9 km from Kailasakona falls. Lord Kailasanatheswara was impressed with the .....",Kanipakam,,,,,,,
Kodandarama Swami Temple,Pilgrimage,#12 of 24 Places to Visit in Tirupati,"At a distance of 2 kms from Tirupati Railway Station & 24 km from Tirumala Tirupati Balaji Temple, Kodandarama Swami Temple is situated in the heart of Tirupati town. The presiding deities are Sita, Rama and Lakshmana. This temple was constructed by the Cholas in 10th century AD. The temple of Anjaneyaswami, which is directly opposite, is a mini shrine situated in the temple complex. According to legend, this temple commemorates the visit of Sri Rama to Tirupathi. The festivals of Ugadi and Sri Ramanavami are celebrated in this temple on a grand scale. Every year the temple celebrates the Brahmotsavams to the Lord Sri Rama. Timings: Not Available",,,,,,,,
Narayanavanam,Pilgrimage,#13 of 24 Places to Visit in Tirupati,"At a distance of 38 Kms from Tirupati, Narayanavanam is famous fro Sri Kalyana Venkateswara Swami Temple. This is the place where Lord Venkateswara got married to Sri Padmavathi Devi.The temple complex also includes separate shrines for Sri Padmavathi Temple, Sri Andal Temple, Sri Sita Rama Lakshmana Temple, and Sri Ranganayakula Temple.Giri Pradakshina is one of the important festivals conducted during the end of Sankranthi, once a year, with the idols of Sri Parasareswaraswami and Sri Champakavalli Ammavaru, and Sri Agastheeswaraswami and Sri Markathavalli Ammavaru. Navarathri festival and annual Brahmotsavams are celebrated here.Few other temples of Narayanavanam include Sorakaya Swami temple, Parasareswara Swami temple, Renuka Parameswari temple, Aghastheswar Swami temple, Avanaksh Amma temple, Venugopala Swami Temple, Skanda Pushka Rani, etc.",,,,,,,,
Veda Narayanaswami Temple,Pilgrimage,#14 of 24 Places to Visit in Tirupati,"At a distance of 65 Kms from Tirupati & 30 Kms from Puttur, Sri Veda Narayana Temple is situated in Nagalapuram. The temple is a fine specimen of the Vijayanagar architecture. It is believed that Lord Sri Maha Vishnu, in the form of Matsya, killed the rakshasa (demon) Somakudu here, and retrieved the Vedas from the latter. The shrine houses an image of the Matsya form of Vishnu accompanied by Sri Devi and Bhu Devi on either side. Sun worship is an important aspect at this temple. Every year in the month of March the rays of the Sun pass through the Gopurarn entrance for three days and fall on the idol in the central sanctum, and this is considered as an act of adoration by the Sun. The temple is said to have been constructed by Sri Krishna Devaraya in 15th century, the Vijayanagar emperor at the behest of his mother. It is a fine specimen of the Vijayanagara style of architecture. The idol here holds the Sudarsana Chakra in prayoga (ready for release).",,,,,,,,
Venugopala Swami Temple - Karvetinagaram,Pilgrimage,#15 of 24 Places to Visit in Tirupati,"At a distance of 46 Kms from Tirupati, Sri Venugopala Swamy Temple dedicated to Lord Vishnu is located in Karvetinagaram near Puttur. The Lord here is accompanied by Rukmini and Satyabhama. This temple was maintained by the Narayanavanam rulers in the olden days. It also houses a shrine with monolithic idols of Sita, Rama, Lakshmana and Anjaneya.Timings: 6 AM to 8 PM",,,,,,,,
Prasanna Venkateswara Swami Temple,Pilgrimage,#16 of 24 Places to Visit in Tirupati,"At a distance of 18 km from Tirupati & 40 km from Tirumala Tirupati Balaji Temple, the Prasanna Venkateswara Swami Temple is located at Appalayagunta. The idols of Goddess Padmavathi and Sri Andal are also seen in this ancient temple. The temple was constructed by the Rajas of Karvetinagar. The temple also houses a shrine for Anjaneya. The imposing mammoth image of the wind-god is worshipped by devotees for relief from 'Chronic Diseases'. The presiding deity in this temple, unlike in the main temple, is in the Abhaya Hastha pose.The annual Brahmotsavams and Teppotsavam are celebrated in a grand manner.",,,,,,,,
Tallapaka,Pilgrimage,#17 of 24 Places to Visit in Tirupati,"At a distance of 95 Kms from Tirupati and 53 Kms from Kadapa, Tallapaka in Kadapa district is the birth place of the most famous 15th century Telugu Saint Annamaacharya (also known as Annamayya) who worshipped Lord Venkateswara throughout his life and written several Keertanas praising the Lord.He is the earliest known musician in South India to compose sankeertanas. Annamacharya is said to have composed as many as 32,000 sankeertanas on Lord Venkateswara, of which only about 13000 are obtainable today.Tallakapka is also famous for Sri Chennakeshava Swami Temple built in 10th century. The temple was constructed and administered by the Matti Rajahs. TTD has recently inaugurated 108 feet status of Annamaacharya in Tallapaka village on 600th birthday of the Saint.",,,,,,,,
Kasi Visweswara Temple,Pilgrimage,#18 of 24 Places to Visit in Tirupati,"At a distance of 53 Kms from Tirupati, the Kashi Vishweshwaras Temple is located in the Bugga Agraharam village. The temple is on the banks of Kushasthali River. The main deities are Sri Kasi Vishweshwara, Sri Annapurna Devi, Sri Kamakshi Devi, and Venkateswara accompanied by Sridevi & Bhudevi. The important annual festivals in the temple are Maha Shivaratri and Kartika Somavaramu (first Monday in the month of Karthika).",,,,,,,,
Agastheeswara Temple - Mukkoti,Pilgrimage,#19 of 24 Places to Visit in Tirupati,"At a distance of 12 km from Tirupati, 3 km from Chandragiri  & 29 km from Tirumala Tirupati Balaji Temple, Agastheeswara Temple is located in Mukkoti at the confluence of three rivers, Swarnamukhi, Bhima and Kalyani.Dedicated to Lord Shiva, this temple has three beautifully sculptured entrances that heighten the grandeur of the hall inside. A separate shrine for Goddess Parvati is also located with in the temple. Just opposite the shrine in the middle of the river is a mandap on which the statues of Lord Venkateswara, Ayyappa and Ganapati have been installed. A small shrine dedicated to Rama, Sita, Lakshmana and Anjaneya is located near the tank.",,,,,,,,
Kalyani Dam,Backwaters,#20 of 24 Places to Visit in Tirupati,"At a distance of 20 Kms from Tirupati & 38 km from Tirumala Tirupati Balaji Temple, Kalyani Dam is a picturesque dam constructed on the River Kalyani. The dam is situated in the Rangampet forest on Tirupathi-Madanapallee Road. This beautiful dam is the main source of water supply for Tirupati and Tirumalai.The surroundings of the dam are beautiful and offers wonderful experience to the visitors.",,,,,,,|,Nature
"Thiruttani, Near Kanchipuram",Pilgrimage,#21 of 24 Places to Visit in Tirupati,,,,Distance (From Tirupati):,65 Kms,Trip Duration (From Tirupati - Including Travel):,4 Hours/Half Day.....,,
Nagalapuram,Adventure,#22 of 24 Places to Visit in Tirupati,"At a distance of 16 km from Nagalapuram town, 44 km from Puttur, 87 km from Chennai, 78 km from Tirupati, 107 km from Chittoor, 130 km from Vellore, 120 km from  & 288 km from Bangalore, Nagalapuram is a small historical town located in the Chittoor District of Andhra Pradesh. Nagalapuram is famous for two things, one is Sri Vedanarayana Swamy Temple and the other one is Nagalapuram falls trekking (also known as Saddhi Koodu Madugu). This is one of the popular sites for trekking near Chennai and also among ideal  for a two day trip.Sri Vedanarayana temple is grand shrine dedicated to Lord Vishnu and is said to have been built by Krishna Devaraya of Vijayanagar Empire in remembrance of his mother Nagala Devi, after whom the town is named. The temple reflects the Vijayanagara architectural and the main deity idol is facing west. The .....",Kanipakam,weekend getaways around Chennai,,,,,|,Waterfall
Horsley Hills,Hill Station,#23 of 24 Places to Visit in Tirupati,"At a distance of 27 km Madanapalle, 76 km from Rayachoty, 128 km from Cuddapah, 123 km from Chittoor, 116 km from Chikkaballapura, 128 km from Tirupati, 166 km from Bangalore and 531 km from Hyderabad, Horsley Hills is a famous Hill Station in Chittoor district of Andhra Pradesh and also one of the best . Horsley Hills is one of the popular Bangalore getaways for a weekend trip and also one of the top .Situated at an altitude of 1265 meters,Horsley Hills is an exciting place to visit. The old name of Horsley Hills was Yenugu Mallamma Konda. According to the legend there used to be a little girl named Mallamma who was taken care by Elephants. She used to heal tribal people on the hills. When she disappeared suddenly, people thought she was a goddess and built a temple for her. Later the place is named .....",Tourist places to visit in Andhra,hill stations near Bangalore,Distance (From Tirupati):,144 Kms,Trip Duration (From Tirupati - Including Travel):,Full Day.....,,
"Sripuram, Near Vellore",Pilgrimage,#24 of 24 Places to Visit in Tirupati,,,,Distance (From Tirupati):,120 Kms,Trip Duration (From Tirupati - Including Travel):,6 Hours.....,,
