card-heading,slick-prev,slick-next,slick-active,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,hotel-neighbourhood,hotel-neighbourhood 2,rating-badge,rating-count,card-body,hotel-featured-data,price,text-muted,clickable
15. Good Vibes Home stay,,,,,,,,200 m from Penukonda Station,# 15  hotel in  Puttaparthi,9.3,(8 reviews),"Facilities:
     Wifi, Pets Allowed, Food, Shuttle Service",Apartment with only 1 room option,"₹1,260",onwards,
16. Sai Maa Resort And Convention Centre,,,,,,,,600 m from Penukonda Station,# 16  hotel in  Puttaparthi,7.6,(8 reviews),"Facilities:
     Wifi, Bar, Garden, Concierge Service, Food",Guest house with 2 room options,"₹6,000",onwards,
17. Sai Bliss Home stay,,,,,,,,300 m from Penukonda Station,# 17  hotel in  Puttaparthi,8.6,(7 reviews),"Facilities:
     Wifi, Pets Allowed, Food, Shuttle Service",Apartment with only 1 room option,"₹1,200",onwards,
18. Nikhara Fort Resorts,,,,,,,,29.5 kms from city centre,# 18  hotel in  Puttaparthi,6.2,(7 reviews),,,"₹2,558",onwards,
19. Casa di Mara,,,,,,,,600 m from Penukonda Station,# 19  hotel in  Puttaparthi,8.8,(5 reviews),"Facilities:
     Wifi, Pets Allowed",Apartment with only 1 room option,"₹1,755",onwards,
20. Collection O Petals Otium,,,,,,,,27.1 kms from city centre,# 20  hotel in  Puttaparthi,7.3,(3 reviews),,,,,Enter dates  to see price
21. hotel chaitanya international,,,,,,,,500 m from Prasanthi Nilayam,# 21  hotel in  Puttaparthi,2.0,(2 reviews),"Facilities:
     Wifi, Shuttle Service",Hotel with 3 room options,,,Enter dates  to see price
22. No,,,,,,,,500 m from Penukonda Station,# 22  hotel in  Puttaparthi,10.0,(1 reviews),,,,,Enter dates  to see price
23. Sathya Sai Sankalp Hotel,,,,,,,,300 m from Penukonda Station,# 23  hotel in  Puttaparthi,8.0,(1 reviews),"Facilities:
     Wifi, Food, Shuttle Service",Hotel with only 1 room option,"₹4,000",onwards,
24. Hotel Sai Brundavan,,,,,,,,300 m from Penukonda Station,# 24  hotel in  Puttaparthi,,,,,,,Enter dates  to see price
25. V4 Farmland,,,,,,,,27.0 kms from city centre,# 25  hotel in  Puttaparthi,,,,,"₹9,137",onwards,
26. Hotel Sai Chinmay Lodge,,,,,,,,2.7 kms from Prasanthi Nilayam,# 26  hotel in  Puttaparthi,,,,,"₹2,343",onwards,
27. Peaceful Serence Soulful! Your Perfect Destination,,,,,,,,32.7 kms from city centre,# 27  hotel in  Puttaparthi,,,,,,,Enter dates  to see price
28. Sree Parthi Hotel,,,,,,,,200 m from Penukonda Station,# 28  hotel in  Puttaparthi,,,,,,,Enter dates  to see price
29. Sanchi Anugraha - Fully furnished 2 BHK,,,,,,,,300 m from Penukonda Station,# 29  hotel in  Puttaparthi,,,,,,,Enter dates  to see price
