destTitle,destTitle 2,destTitleType,destTitleType 2,text-overlap-extn,destDesc,destDesc 2,destDesc 3,destSubHead,destSubText,destSubHead 2,destSubText 2
Vishaka Museum,,Museum,,#11 of 30 Places to Visit in Vizag,"At a distance of 5 Kms from Vizag Railway Station, Visakha Museum (situated on the shores of RK Beach) has historical treasures and artifacts of the region.Opened in 1991, the museum is housed in 150 year old architecturally impressive Dutch Bungalow. The collections in the museum include ancient armory, crockery, coins, silk costumes, jewelry, stuffed animals, portraits, Shell of an unexploded bomb dropped by the Japanese during World War II, manuscripts, letters, diaries, scrap books as well as periodicals, maps etc which chronicle the lives of the early settlers.Timings: 11 AM to 7 PM",,,,,,
Thotlakonda,,Heritage,,#12 of 30 Places to Visit in Vizag,"At a distance of 22 Kms from  Railway Station & 620 Kms from Hyderabad, the Thotlakonda Buddhist Complex is situated on a hilltop in Chepala Uppadu village on Bheemili beach road (after Rishikonda). Also known as 'the Hill of Eagles', the complex has a number of stupas, Chaityas, Viharas, a congregation hall and a refectory belonging to the Hinayana school, mostly excavated during1982-92. These remains are classifieds as religious, secular and civil. Excavations at Thotlakonda comprise pottery, beads, bangle pieces, tiles, stuccos, iron objects, sculptural remains, moulded bricks, inscriptions, coins, etc.",Vizag,,,,,
Bavikonda,,Heritage,,#13 of 30 Places to Visit in Vizag,"At a distance of 20 Kms from  Railway Station & 618 Kms from Hyderabad, Bavikonda is historical Buddhist site near Kapula Uppadu village in Bheemili beach road (after Rishikonda). The hill acquired the name Bavikonda due to the existence of wells on the hill to collect rain water for drinking purpose. The artifacts recovered here include Roman coins and satavahana coins apart from pottery dating back to 3rd century BC and 2nd Century AD. Excavations on the hill-top brought to light an extensive Buddhist establishment consisting of a Mahachaitya, stupas, chaityagrihas, a congregation hall, platforms, viharas, kitchen-cum-store complex, pottery, relic caskets, tiles, stuccos, iron objects, moulded bricks, coins etc",Vizag,,,,,
Pavuralakonda,,Heritage,,#14 of 30 Places to Visit in Vizag,"At a distance of 29 Kms from Vizag Railway Station, Pavuralakonda or Narasimhaswamy Konda is a historical place famous for Buddhist excavations situated to the west of Bheemli (5 Kms from Bheemili). This hillock also called 'hill of pigeons', covering an area of 10 to 12 acres, is at a height of 168 meters above sea level. Excavations of the site believed to be dated between 3rd century BC and 2nd century AD, revealed nearly 14-16 rock-cut troughs or cisterns used for collecting rainwater, foundations of viharas, with cells and common verandah, circular chaityagrihas, votive stupas, halls etc. The river Gosthani which flows nearby Pavuralakonda served as navigation canal for inland trade in the early centuries.",,,,,,
Appikonda,,Heritage,,#15 of 30 Places to Visit in Vizag,"At a distance of 29 Kms from Vizag Railway Station, Appikonda also known as Kapilakonda is a small village on the coast of Bay of Bengal. The place has given a religious significance because of the existence of a Siva temple. The major attraction of the temple is a life size bull carved out of black stone. It also contains inscriptions dating back to 12th Century AD, with a mention that this village was granted by a commander-in-chief of the Cholas for the maintenance of worship in the temple.",,,,,,
Kondakarla Ava,,Backwaters,,#16 of 30 Places to Visit in Vizag,"At a distance of 49 km from Vizag, and 86 km from Lambasingi, Kondakarla Ava Bird Sanctuary is a sanctuary situated at Kondakarla village in Achyutapuram Mandal of Vizag district, Andhra Pradesh. It is one of the popular places to visit near Vizag, especially for Ornithologists.Kondakarla Ava Bird Sanctuary is a popular tourist place as it houses one of the largest freshwater lakes, the Kondakarla Ava in the country. Nestled along the foothills of the Eastern Ghats, it covers an area of about 1,832 acres beginning from Munagapaka to Atchutapuram mandals. Kondakarla Ava lake used to be a popular picnic spot for Vizianagaram kings and the British before India's Independence. Flanked by magnanimous hills, the lake is believed to support a total of twenty-one villages in the state of Andhra Pradesh flanking along with the River Sarada.Managed by the Andhra Pradesh Tourism Development Corporation and Kondakarla Panchayat, Kondakarla Bird Sanctuary is a bird lover's paradise. It .....",,,,,,
Gangavaram Beach,,Beach,,#17 of 30 Places to Visit in Vizag,"At a distance of 25 Kms from Vizag Railway Station, the beautiful Gangavaram Beach, lined with palm trees is located near the Visakhapatnam Steel Plant (VSP).The beach has a picturesque coastline which attracts number of tourists and film makers.",,,,,,
Bojjanna Konda / Sankaram,,Heritage,,#18 of 30 Places to Visit in Vizag,"At a distance of 3 km from Anakapalle, 18 km from Kondakarla, and 42 km from Vizag, Bojjannakonda and Lingalakonda are two Buddhist rock-cut caves on adjacent hillocks, situated near Sankaram village, Andhra Pradesh. It is one of the popular historical places in Andhra and among the must include places in Vizag Tour packages.Bojjanakonda and Lingalakonda are known for the Buddhist ruins. The hills contain numerous monolithic stupas, rock-cut caves, structural buildings and images of Buddha forming one of the most remarkable Buddhist establishments in Andhra Pradesh during the period from the 4th to the 9th Century CE. The name of the village Sankaram is evidently a corruption of Sangharam (Boudha-arama, i.e., vihara) as these Buddhist establishments are generally known. Bojjannakonda has six rock-cut caves, a group of stupas surrounding a maha stupa and chaityas surrounding the maha stupa. The caves have panels that have been meticulously sculptured. The main cave is comparatively .....",,,,,,
"Tyda Nature Camp, Near Araku Valley",|,Adventure,Nature,#19 of 30 Places to Visit in Vizag,"At a distance of 40 Kms from Araku, 70 Kms from Vizag & 632 Kms from Hyderabad, Tyda is a small tribal village nestling in the wooded hills of the Eastern Ghats between  and . Also known as Jungle Bells, the nature camp has facilities for rock climbing, trekking, bird watching and target shooting with bow & arrows. This eco-tourism destination is home for a variety of animals and birds. With the help of naturalists or guides in the camp, one can learn the language of the jungle, identification of calls, marks etc. There are log huts and tents set in tribal environment for tourists.Tariff: Rs. 800 to Rs 1800. Visit - http://www.tourisminap.com/accomodation/index.phpTrains between Vizag and Araku stop at Tyda. Tatipudi Reservoir is about 25 Kms from Tyda, which is connected by several buses.",Vizag,Araku Valley,Distance (From Vizag):,70 Kms,Trip Duration (From Vizag - Including Travel):,1-2 Days.....
"Ananthagiri, Near Araku Valley",|,Hill Station,Nature,#20 of 30 Places to Visit in Vizag,"At a distance of 26 km from Araku, 85 km from Vizag & 660 km from Hyderabad, Anantagiri is a lovely tiny hill station between  and . It is one of the top tourist places to visit in Araku Valley and is also among the top hill station in Andhra Pradesh apart from being a popular weekend getaway from Vizag city.At an altitude of 1168 meters, Anantagiri is famous for extensive coffee plantations and numerous waterfalls. There is a view point on the way to Anantagiri on main road that offers excellent views of the deep valleys on one side and coffee plantations on the other side.Anantagiri Hills are well known for its scenic beauty and charming weather. It is a perfect gateway to spend some time amidst the lap of nature. Anantagiri is paradise for coffee lovers and nature enthusiasts. The village is surrounded by coffee estates that emit the rich aroma of coffee and .....",Vizag,Araku Valley,Distance (From Vizag):,85 Kms,Trip Duration (From Vizag - Including Travel):,Full Day.....
"Borra Caves, Near Araku Valley",,Heritage,,#21 of 30 Places to Visit in Vizag,"At a distance of 36 km from Araku, 88 km from  & 662 km from Hyderabad, Borra Caves are one million year-old limestone caves and the deepest caves in the country. Situated in Anantagiri hills of Andhra Pradesh, the caves are situated at an altitude of 1400 m and occupy an area of 2 sq.km. Borra Caves is one of the best places to visit in Araku Valley as part of . These natural caves were discovered in 1807 by William King George of the Geological Survey of India. According to locals, once a cowherd lost his cow while grazing. He soon realized that his cow had fallen down. While searching for the cow, the cowherd found these caves and came across a Linga inside it. The Linga is considered synonymous to Lord Shiva, who saved the cow. After this, a small Shiva temple was built right outside this cave.The caves are filled with fascinating stalagmite and stalactite .....",Vizag,Vizag packages,Distance (From Vizag):,88 Kms,Trip Duration (From Vizag - Including Travel):,Full Day.....
Araku Valley,|,Hill Station,Nature,#22 of 30 Places to Visit in Vizag,"At a distance of 112 km from Vizag, 432 km from Vijayawada, 85 km from Vizianagaram, 26 km from Anantagiri and 635 km from Hyderabad, Araku Valley, popularly known as Araku, is a scenic hill station in the  district of Andhra Pradesh. Often referred to as Andhra Ooty, it is one of the most famous places to experince  and is one of the top attractions you must include in . Located on the Eastern Ghats at an altitude range of 900 to 1400 meters above sea level,  is home to a number of tribal communities. Spread over an area of 36 sq. km, Araku is a perfect tourist destination with pleasant climate, lush greenery, waterfalls and streams. It is popular for its famous coffee plantations. has .....",Vishakhapatnam,Andhra Pradesh tourism,Distance (From Vizag):,110 Kms,Trip Duration (From Vizag - Including Travel):,1-2 Days.....
Lambasingi,|,Hill Station,Nature,#23 of 30 Places to Visit in Vizag,"At a distance of 20 km from Chintapalle, 77 km from Ankapalle, 92 km from Araku Valley, 115 km from Vishakhapatnam, 136 km from Kakinada, 176 km from Rajahmundry, 240 km from Bhadrachalam, 325 km from Machilipatnam, 333 km from Vijayawada, 364 km from Guntur, and 552 km from Hyderabad, Lambasingi, or Lammasingi is a small hamlet in Visakhapatnam district of Andhra Pradesh. Also known as Korra Bayalu, it is one of the popular tourist destinations to visit in Andhra Pradesh.Fondly called the 'Kashmir of Andhra Pradesh', the little hamlet of Lambasingi is situated at an altitude of 1025 m in the beautiful and lushly forested Eastern Ghats of Andhra Pradesh. One of the best-kept secrets of Andhra Pradesh, the tiny village is known for its majestic hills, quaint valleys, and chilling temperatures. This village is the only place in all of South India that experiences snowfall as the temperatures drop significantly. Lambasingi is also known by another name- Korra Bayalu, which means 'if .....",,,Distance (From Vizag):,115 Kms,Trip Duration (From Vizag - Including Travel):,Full Day.....
Vizag Harbour,,Miscellaneous,,#24 of 30 Places to Visit in Vizag,"At a distance of 9 Kms from Vizag Railway Station, the Vizag Harbour is the largest natural port in the country.This port is largely contributing to the development of petroleum, steel and fertilizer industries in the state. It is also one of countries main fishing ports with a dedicated harbour for the fishing industry and handles a large percentage of India's seafood exports.Visiting Days: Tuesday to Thursday, 1.30 PM to 3 PM",,,,,,
VUDA Park,,Park,,#25 of 30 Places to Visit in Vizag,"At a distance of 6 Kms from Vizag Railway Station, Vuda Park alias Taraka Rama Park is located near RK Beach is one of the most attractive leisure spot in Visakhapatnam. Named after the former Chief Minister of  Sri NT Rama Rao, the park has boating and swimming facilities along with camel and horse riding, artificial caves, beautiful long lawns, flower garden and a children's park. The playpen for children in the park has 3000 plastic balls and boxing bags. The dancing musical fountain in the Vuda Park provides good entertainment.Timings: Not Available",Andhra Pradesh,,,,,
Darga Konda,,Pilgrimage,,#26 of 30 Places to Visit in Vizag,"At a distance of 5 Kms from Vizag Railway Station, Darga Konda, the north hillock of the line of three hills has a mosque and the mausoleum of the Muslim saint, Baba Ishaq Madina who was revered for his prophecies. It has been visited and venerated by Hindu and Muslim devotees alike.",,,,,,
Yarada Beach,,Beach,,#27 of 30 Places to Visit in Vizag,"At a distance of 14 Kms from Vizag Railway Station, Yarada Beach is a calm and peaceful beach in the vicinity of Vizag.This beach offers a fabulous landscape with its exotic blend of golden sands and the lush green stretch of hills. Nestled between the hills on all the three sides and the Bay of Bengal on one side, this beach is an ideal spot for outing. Unlike RK Beach, this beach is not commercialized much.",,,,,,
Annavaram,,Pilgrimage,,#28 of 30 Places to Visit in Vizag,"At a distance of 84 km from Rajahmundry, 123 km from Vizag, 234 km from Vijayawada and 483 km from Hyderabad, Annavaram is a village situated on the banks of river Pampa in East Godavari district of Andhra Pradesh.  is famous for Sri Satyanarayana Swamy temple and is one of the famous . It is believed that all the wishes of devotees will be fulfilled when Satyanarayana Vratam is performed here.It is believed that the presiding deity of the place blesses the devotees with anina varam (pronounced or wanted boon), the place is called Annavaram. According to history, Sri Krishnadevaraya of Vijayanagar used the secret underground passages in the hills to attack the enemy from both sides during his invasion of Kalinga. The Andhra revolutionary late Alluri Seetharama Raju used the secret quarters in these hill ranges, when he rebelled against the British Rule.The .....",Annavaram,Places to visit in Andhra Pradesh,Distance (From Vizag):,124 Kms,Trip Duration (From Vizag - Including Travel):,Full Day.....
Rose Hill,|,Nature,Pilgrimage,#29 of 30 Places to Visit in Vizag,"At a distance of 5 Kms from Vizag Railway Station, Rose Hill is the central and highest among the line of three hills named after Monsieur Ross. He has built a house on it in 1864 which was later converted into a Roman Catholic Chapel 'Mother Mary's Church'. The pathway to the church is lined with shrines of the stages of the cross. It offers excellent views of the ship building yard. A grand annual procession is carried out to the Ross Hill Church to mark the Feast of the Immaculate Conception of Blessed Virgin Mary.",,,,,,
Dolphin Nose,,Nature,,#30 of 30 Places to Visit in Vizag,"At a distance of 10 Kms from Vizag Railway Station, Dolphin's Nose is a huge rocky promontory with a height of 174 meters above the sea and is the most prominent landmark in Visakhapatnam. This massive hillock, also known as Black Mores Hill located in the southern part of city and facing the cool, blue ocean resembles the shape of a Dolphin Nose. It shelters the harbour from where manganese and iron ore are shipped out. It also serves as the head quarters of Eastern Naval Command. Lighthouse situated atop the hillock with 7 million candle power is visible from more than 65 km.Dolphin Nose is best visible from Kailasagiri.",,,,,,
