card-heading,slick-prev,slick-next,slick-dots,slick-dots 2,slick-dots 3,slick-dots 4,slick-dots 5,must-visit,rating-badge,light,objective,objective 2,readMoreSmall,clickable,moreTextHidden
11. VUDA Park (Taraka Rama),,,,,,,,,3.1,/5,14 km from city center,Garden & Park,"The Visakhapatnam Urban Development Authority or VUDA park, is a popular attraction in Visakhapatnam and a favorite amongst the tourists. One of its main attractions, here, is a musical waterfall.",,
12. Simhachalam Temple,Previous,Next,2.0,3.0,4.0,5.0,6.0,,3.6,/5,9 km from city center,Temple,"As per the belief of the Hindu religion, an east facing entrance brings luck and prosperity while the west one brings victory and luckily the Simhachalam temple faces west. The temple is situated among hills covered with cashew trees, shrubs, and mango groves. Many pilgrims undertake a journey to the hill on important and auspicious days. Neighbourhoods near the pilgrimage include Srinivasanagar,",(Read More),"Prahladapuram, Sainagar colony, Simhapuri colony, and Simhapuri Layout. The journey often extends into the night, as the route is around 40 kilometres. Pilgrims visit the temple to bestow their offerings to the auspicious deities."
13. Lambasingi,Previous,Next,2.0,,,,,,,,78 km from city center,Village,"Fondly called the â€˜Kashmir of Andhra Pradeshâ€™, Lambasingi is a quaint hamlet nestled in Chintapalli Mandal in the richly forested Arakku Valley at an elevation of 1025 m above the sea level. On of the best kept secrets of Andhra Pradesh, the dainty village is known for its majestic hills, apple orchards and panoramic views of the adjoining valleys. Also known as Korra Bayalu, the village is the on",(Read More),"ly place in all of South India that experiences snowfall as the temperatures drop significantly. Besides abundant natural beauty and the gorgeous views if the towering hills and meandering rivers, the village also offers a plethora of adventure activities that you can try your hand at. So if you are looking for chilling temperature, pale mists, colourful gardens and prolific natural beauty, you know where to head to."
14. Bheemili Beach,Previous,Next,2.0,3.0,4.0,5.0,,,3.1,/5,34 km from city center,Beach,"The long beautiful and pristine Bheemunipatnam Beach is located at the assemblage of Gosthani River and the Bay of Bengal. It also houses the remains of a 17th century fort and cemetery, reveling history dating back to the Dutch era.",,
15. War memorial,,,,,,,,,3.1,/5,13 km from city center,Monument,"This memorial is dedicated to the 'Victory at Sea', during the Indo-Pak war in 1971. A renowned War memorial, it is located in Vizag on the left of the beach road and facing the submarine museum. Many war related materials are displayed here, including a fighter plane, missiles, few bombs and a tank.",,
16. Lawson's Bay Beach,,,,,,,,,3.1,/5,14 km from city center,Beach,"Lawson's Bay beach is considered an extension of Ramakrishan beach more than often. It is a calm, serene and secluded stretch with lush greenery and  whitish sands. The majestic sea with shallow crystal clear water and calm waves here is ideal for swimming, sun bathing and surfing.",,
17. Kambalakonda Wildlife Sanctuary,,,,,,,,,3.1,/5,16 km from city center,Wildlife,Kambalakonda Wildlife Sanctuary is located on the outskirts of Visakhapatnam and is a perfect example of natural harmony between the dry seasonal forest and the evergreen meadows.,,
18. Bojjannakonda,Previous,Next,2.0,3.0,,,,,,,10 km from city center,Temple,Bojjannakonda is a small group of six rock-cut caves that has beautifully carved statues of Gautam Buddha which draw tourists and believers for its aesthetic and religious importance. The caves nearby also have stupas where Buddhist monks would meditate.,,
19. Ross Hill Church,Previous,Next,2.0,,,,,,,,7 km from city center,Church & Cathedral,Ross Hill Church is a splendid attraction that draws tourists and religious followers in large numbers. It is one of the few locations that can be climbed to get a fabulous view of the quaint city and the Port area. The attraction is frequently visited by photographers and nature lovers especially to view the beautiful sunrises and sunsets. Ross Hill Church has a beautiful architecture and a seren,(Read More),e vibe that will hit the pause button to the endless mind chatter at least for a few moments. Tourists can explore the church and attend the prayer services/ mass if they choose to.
20. Sagar Nagar Beach,,,,,,,,,,,17 km from city center,Beach,"Located in the quaint neighborhood of Sagar Nagar in the city of Visakhapatnam in Andhra Pradesh, Sagar Nagar beach is situated on the coast of the Bay of Bengal. Considered to be one of the most popular tourist spots in the city, the beach reverberates with tranquility and serenity. The beach is known for its golden sands, mesmerising sunsets and utter peace, all in the absence of commercial crow",(Read More),ds or touristy pollution.
21. TU 142 Aircraft Museum,,,,,,,,,,,,Museum,"The TU-142M aircraft of The Indian Navy served for 29 years before it was decommissioned and placed at the Visakhapatnam beach sea and converted into a museum. Located opposite the Submarine Museum, TU 142 Museum has been one of the most popular tourist locations in the area.",,
22. Tenneti Park,,,,,,,,,,,15 km from city center,Amusement & Theme Park,"Tenenti, an urban park, is located in close vicinity to the Bay of Bengal at Jodugullapalem in Visakhapatnam. It has recently been renovated for tourism purposes. In addition, one of the city's oldest parks, Tenneti, was destroyed in a cyclone Hudhud in 2014 and was reconstructed according to international standards.",,
23. Buddhist Excavation,,,,,,,,,3.1,/5,26 km from city center,Buddhist Temple,"Havi Konda, Thotla Konda, Bojjana Konda, and Salihundam located around Visakhapatnam were places of Buddhist excavations. The excavations of 1906 that took place have brought out many Buddhist monuments such as stupas and chaityas.",,
24. Gangavaram beach,,,,,,,,,3.1,/5,8 km from city center,Beach,"One of the most beautiful beaches of the town, this one with palm trees and picture perfect sceneries attracts many film and TV serial makers. This beach with soft sands and cool breeze always provides a secluded atmosphere.",,
25. City Shopping,,,,,,,,,3.0,/5,34 km from city center,Shopping,"Waltair Uplands Road, Jagadamba Junction, CMR Central, Lepakshi Emporium etc tend t be the favorites for shopping in Vizag. The city is famous for its saris and varieties like Pochampalli, Ikat and a few more are almost essentials.",,
26. Victory at Sea War Memorial,Previous,Next,2.0,3.0,4.0,5.0,,,,,13 km from city center,Monument,Victory at Sea War Memorial is located on Beach road and is frequently visited by tourists on their way to the beach. The monument has a pyre lit 24x7 in honour of the Indian martyrs. The well maintained monument often generates a sense of patriotism and pride in our countrymen who fight selflessly for the safety of our citizens.,,
27. Itika Pongal,Previous,Next,2.0,3.0,4.0,5.0,,,,,,Fairs & Festivals,"The native tribal community of Araku Valley in Andhra Pradesh celebrates a hunting festival during April of the Gregorian calendar each year. The name of the festival is 'Itika Pongal,' which is similar to hunting festivals of other tribal communities, such as the 'Jani Shikar' of Jharkhand. The 'Itika Pongal' festival serves as a perfect occasion to witness the tribal culture of Andhra Pradesh in",(Read More),"its purest form when the women of the tribe perform their native dance form, known as 'Dhimsa'."
