trip_id,source_area,museum_name,museum_area,distance_km,estimated_duration,rapido_bike_price,auto_price,cab_price,traffic_level,best_transport_option,peak_time,off_peak_time,nearest_landmarks,description
44,RTC Complex,TU 142 Aircraft Museum,Beach Road,7.6,30 min,Rs.76,Rs.121,Rs.174,High,Auto,8:00-10:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from RTC Complex to TU 142 Aircraft Museum in Beach Road. ~7.6km. High traffic expected. Best option: Auto.
45,Airport,TU 142 Aircraft Museum,Beach Road,18.3,1h 13min,Rs.161,Rs.250,Rs.334,High,Auto,6:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Airport to TU 142 Aircraft Museum in Beach Road. ~18.3km. High traffic expected. Best option: Auto.
46,Pendurthi,TU 142 Aircraft Museum,Beach Road,23.7,1h 5min,Rs.205,Rs.314,Rs.416,Moderate,Cab,7:30-9:30 AM; 5:00-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Pendurthi to TU 142 Aircraft Museum in Beach Road. ~23.7km. Moderate traffic expected. Best option: Cab.
47,Gopalapatnam,TU 142 Aircraft Museum,Beach Road,16.9,34 min,Rs.150,Rs.233,Rs.314,Low,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Gopalapatnam to TU 142 Aircraft Museum in Beach Road. ~16.9km. Low traffic expected. Best option: Auto.
48,Kurmannapalem,TU 142 Aircraft Museum,Beach Road,14.9,41 min,Rs.134,Rs.209,Rs.284,Moderate,Auto,8:00-9:30 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Kurmannapalem to TU 142 Aircraft Museum in Beach Road. ~14.9km. Moderate traffic expected. Best option: Auto.
49,Auto Nagar,TU 142 Aircraft Museum,Beach Road,14.3,29 min,Rs.129,Rs.202,Rs.274,Low,Auto,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Auto Nagar to TU 142 Aircraft Museum in Beach Road. ~14.3km. Low traffic expected. Best option: Auto.
50,Steel Plant,TU 142 Aircraft Museum,Beach Road,16.6,1h 6min,Rs.148,Rs.229,Rs.309,High,Auto,7:00-9:00 AM; 4:30-7:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Steel Plant to TU 142 Aircraft Museum in Beach Road. ~16.6km. High traffic expected. Best option: Auto.
51,Scindia,TU 142 Aircraft Museum,Beach Road,18.2,36 min,Rs.161,Rs.248,Rs.333,Low,Auto,8:00-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Scindia to TU 142 Aircraft Museum in Beach Road. ~18.2km. Low traffic expected. Best option: Auto.
52,One Town,TU 142 Aircraft Museum,Beach Road,6.6,40 min,Rs.68,Rs.109,Rs.159,Very High,Auto,9:30-11:30 AM; 6:00-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from One Town to TU 142 Aircraft Museum in Beach Road. ~6.6km. Very High traffic expected. Best option: Auto.
53,Poorna Market,TU 142 Aircraft Museum,Beach Road,5.4,22 min,Rs.58,Rs.95,Rs.141,High,Auto,9:30-12:00 PM; 5:30-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Poorna Market to TU 142 Aircraft Museum in Beach Road. ~5.4km. High traffic expected. Best option: Auto.
54,RK Beach,TU 142 Aircraft Museum,Beach Road,2.7,7 min,Rs.37,Rs.62,Rs.100,Moderate,Rapido Bike,6:00-9:00 AM; 5:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from RK Beach to TU 142 Aircraft Museum in Beach Road. ~2.7km. Moderate traffic expected. Best option: Rapido Bike.
55,Rushikonda,TU 142 Aircraft Museum,Beach Road,2.2,6 min,Rs.33,Rs.56,Rs.93,Moderate,Rapido Bike,7:00-9:30 AM; 4:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Rushikonda to TU 142 Aircraft Museum in Beach Road. ~2.2km. Moderate traffic expected. Best option: Rapido Bike.
56,Lawson's Bay,TU 142 Aircraft Museum,Beach Road,1.6,6 min,Rs.28,Rs.49,Rs.84,High,Rapido Bike,7:30-9:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Lawson's Bay to TU 142 Aircraft Museum in Beach Road. ~1.6km. High traffic expected. Best option: Rapido Bike.
57,Hanumanthuwaka,TU 142 Aircraft Museum,Beach Road,10.7,43 min,Rs.101,Rs.158,Rs.220,High,Auto,8:00-10:00 AM; 5:30-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Hanumanthuwaka to TU 142 Aircraft Museum in Beach Road. ~10.7km. High traffic expected. Best option: Auto.
58,Arilova,TU 142 Aircraft Museum,Beach Road,9.6,26 min,Rs.92,Rs.145,Rs.204,Moderate,Rapido Bike,8:30-10:30 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Arilova to TU 142 Aircraft Museum in Beach Road. ~9.6km. Moderate traffic expected. Best option: Rapido Bike.
59,Beach Road,TU 142 Aircraft Museum,Beach Road,1.3,5 min,Rs.25,Rs.46,Rs.80,Moderate,Rapido Bike,6:30-9:00 AM; 5:30-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Beach Road to TU 142 Aircraft Museum in Beach Road. ~1.3km. Moderate traffic expected. Best option: Rapido Bike.
60,Kailasagiri,TU 142 Aircraft Museum,Beach Road,2.8,11 min,Rs.37,Rs.64,Rs.102,High,Rapido Bike,7:00-9:00 AM; 5:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; INS Circars; Kursura Submarine Museum,Travel from Kailasagiri to TU 142 Aircraft Museum in Beach Road. ~2.8km. High traffic expected. Best option: Rapido Bike.
61,Gajuwaka,VMRDA Visakha Aircraft Museum,Beach Road,21.5,43 min,Rs.187,Rs.288,Rs.382,Low,Cab,8:00-10:00 AM; 6:00-8:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Gajuwaka to VMRDA Visakha Aircraft Museum in Beach Road. ~21.5km. Low traffic expected. Best option: Cab.
62,Kommadi,VMRDA Visakha Aircraft Museum,Beach Road,10.5,21 min,Rs.99,Rs.156,Rs.218,Low,Auto,8:30-10:00 AM; 5:30-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Kommadi to VMRDA Visakha Aircraft Museum in Beach Road. ~10.5km. Low traffic expected. Best option: Auto.
63,Madhurawada,VMRDA Visakha Aircraft Museum,Beach Road,12.5,50 min,Rs.115,Rs.180,Rs.248,High,Auto,8:00-10:30 AM; 5:00-7:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Madhurawada to VMRDA Visakha Aircraft Museum in Beach Road. ~12.5km. High traffic expected. Best option: Auto.
64,PM Palem,VMRDA Visakha Aircraft Museum,Beach Road,13.4,54 min,Rs.122,Rs.191,Rs.261,High,Auto,8:30-10:00 AM; 6:00-8:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from PM Palem to VMRDA Visakha Aircraft Museum in Beach Road. ~13.4km. High traffic expected. Best option: Auto.
65,MVP Colony,VMRDA Visakha Aircraft Museum,Beach Road,8.6,23 min,Rs.84,Rs.133,Rs.189,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from MVP Colony to VMRDA Visakha Aircraft Museum in Beach Road. ~8.6km. Moderate traffic expected. Best option: Rapido Bike.
66,Siripuram,VMRDA Visakha Aircraft Museum,Beach Road,7.1,43 min,Rs.72,Rs.115,Rs.166,Very High,Auto,9:00-11:30 AM; 6:30-9:30 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Siripuram to VMRDA Visakha Aircraft Museum in Beach Road. ~7.1km. Very High traffic expected. Best option: Auto.
67,Dwaraka Nagar,VMRDA Visakha Aircraft Museum,Beach Road,4.3,12 min,Rs.49,Rs.82,Rs.124,Moderate,Rapido Bike,9:00-11:00 AM; 6:00-9:00 PM,11:00 AM-1:00 PM; 2:00-4:30 PM,YMCA Junction; Beach Road Promenade; TU 142 Museum,Travel from Dwaraka Nagar to VMRDA Visakha Aircraft Museum in Beach Road. ~4.3km. Moderate traffic expected. Best option: Rapido Bike.
