"route_id,source_area,hospital_name,hospital_area,nearest_bus_stop,bus_number,bus_type,major_stops,distance_km,estimated_duration,ticket_price,first_bus,last_bus,frequency_minutes,walking_distance_from_stop_km,emergency_friendly,tourist_friendly,description"
"VZG00001,Gajuwaka,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,City Bus,""Gajuwaka Junction, Gajuwaka Market, Hospital Zone"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 28 from Gajuwaka to 4S Multispeciality Hospital in Gajuwaka. Passes through Gajuwaka, Major Junction, Gajuwaka. Approx 1.5 km, 9 mins."""
"VZG00012,Asilmetta,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Asilmetta, Jagadamba, Kancharapalem, Gajuwaka"",44.9,139 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Asilmetta to 4S Multispeciality Hospital in Gajuwaka. Passes through Asilmetta, Major Junction, Gajuwaka. Approx 44.9 km, 139 mins."""
"VZG00013,Railway Station,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Railway Station, RTC Complex, Kancharapalem, Gajuwaka"",44.2,137 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Railway Station to 4S Multispeciality Hospital in Gajuwaka. Passes through Railway Station, Major Junction, Gajuwaka. Approx 44.2 km, 137 mins."""
"VZG00014,RTC Complex,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28,Express,""RTC Complex, Jagadamba, Kancharapalem, Gajuwaka"",44.5,138 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from RTC Complex to 4S Multispeciality Hospital in Gajuwaka. Passes through RTC Complex, Major Junction, Gajuwaka. Approx 44.5 km, 138 mins."""
"VZG00015,Airport,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,38A,Semi-Express,""Airport, Bhimli Road, Kancharapalem, Gajuwaka"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 38A from Airport to 4S Multispeciality Hospital in Gajuwaka. Passes through Airport, Major Junction, Gajuwaka. Approx 12.4 km, 42 mins."""
"VZG00016,Pendurthi,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,39P,City Bus,""Pendurthi, Marripalem, Kancharapalem, Gajuwaka"",7.9,28 mins,Rs.15,05:30,22:00,15,0.5,No,No,""APSRTC bus 39P from Pendurthi to 4S Multispeciality Hospital in Gajuwaka. Passes through Pendurthi, Major Junction, Gajuwaka. Approx 7.9 km, 28 mins."""
"VZG00017,Gopalapatnam,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,39G,Semi-Express,""Gopalapatnam, NAD Junction, Kancharapalem, Gajuwaka"",16.0,53 mins,Rs.25,05:30,22:00,30,0.8,No,No,""APSRTC bus 39G from Gopalapatnam to 4S Multispeciality Hospital in Gajuwaka. Passes through Gopalapatnam, Major Junction, Gajuwaka. Approx 16.0 km, 53 mins."""
"VZG00018,Kurmannapalem,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,39KN,Semi-Express,""Kurmannapalem, NAD Junction, Kancharapalem, Gajuwaka"",11.2,38 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 39KN from Kurmannapalem to 4S Multispeciality Hospital in Gajuwaka. Passes through Kurmannapalem, Major Junction, Gajuwaka. Approx 11.2 km, 38 mins."""
"VZG00019,Auto Nagar,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,400,City Bus,""Auto Nagar, Kancharapalem, Gajuwaka"",8.8,31 mins,Rs.15,05:30,22:00,20,0.5,No,No,""APSRTC bus 400 from Auto Nagar to 4S Multispeciality Hospital in Gajuwaka. Passes through Auto Nagar, Major Junction, Gajuwaka. Approx 8.8 km, 31 mins."""
"VZG00020,Steel Plant,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,400,City Bus,""Steel Plant, Gajuwaka, Kancharapalem, Gajuwaka"",4.4,18 mins,Rs.10,05:30,22:00,15,0.3,No,No,""APSRTC bus 400 from Steel Plant to 4S Multispeciality Hospital in Gajuwaka. Passes through Steel Plant, Major Junction, Gajuwaka. Approx 4.4 km, 18 mins."""
"VZG00021,Scindia,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28SC,Express,""Scindia, One Town, Kancharapalem, Gajuwaka"",46.4,144 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28SC from Scindia to 4S Multispeciality Hospital in Gajuwaka. Passes through Scindia, Major Junction, Gajuwaka. Approx 46.4 km, 144 mins."""
"VZG00022,One Town,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28OT,Express,""One Town, RTC Complex, Kancharapalem, Gajuwaka"",46.3,143 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28OT from One Town to 4S Multispeciality Hospital in Gajuwaka. Passes through One Town, Major Junction, Gajuwaka. Approx 46.3 km, 143 mins."""
"VZG00023,Poorna Market,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28PM,Express,""Poorna Market, One Town, Kancharapalem, Gajuwaka"",48.6,150 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28PM from Poorna Market to 4S Multispeciality Hospital in Gajuwaka. Passes through Poorna Market, Major Junction, Gajuwaka. Approx 48.6 km, 150 mins."""
"VZG00024,RK Beach,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28RK,Express,""RK Beach, Siripuram, Kancharapalem, Gajuwaka"",37.4,117 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28RK from RK Beach to 4S Multispeciality Hospital in Gajuwaka. Passes through RK Beach, Major Junction, Gajuwaka. Approx 37.4 km, 117 mins."""
"VZG00025,Rushikonda,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,99R,Semi-Express,""Rushikonda, Kommadi, Kancharapalem, Gajuwaka"",17.6,57 mins,Rs.25,06:00,21:00,30,0.8,No,No,""APSRTC bus 99R from Rushikonda to 4S Multispeciality Hospital in Gajuwaka. Passes through Rushikonda, Major Junction, Gajuwaka. Approx 17.6 km, 57 mins."""
"VZG00026,Lawson's Bay,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28LB,Express,""Lawson's Bay, Siripuram, Kancharapalem, Gajuwaka"",29.6,93 mins,Rs.35,06:00,21:00,30,0.8,No,No,""APSRTC bus 28LB from Lawson's Bay to 4S Multispeciality Hospital in Gajuwaka. Passes through Lawson's Bay, Major Junction, Gajuwaka. Approx 29.6 km, 93 mins."""
"VZG00027,Hanumanthuwaka,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28H,Express,""Hanumanthuwaka, Madhavadhara, Kancharapalem, Gajuwaka"",54.4,168 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28H from Hanumanthuwaka to 4S Multispeciality Hospital in Gajuwaka. Passes through Hanumanthuwaka, Major Junction, Gajuwaka. Approx 54.4 km, 168 mins."""
"VZG00028,Arilova,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,99AR,Semi-Express,""Arilova, NAD Junction, Kancharapalem, Gajuwaka"",18.7,61 mins,Rs.25,05:30,22:00,30,0.8,No,No,""APSRTC bus 99AR from Arilova to 4S Multispeciality Hospital in Gajuwaka. Passes through Arilova, Major Junction, Gajuwaka. Approx 18.7 km, 61 mins."""
"VZG00029,Beach Road,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28BR,Express,""Beach Road, Siripuram, Kancharapalem, Gajuwaka"",37.4,117 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28BR from Beach Road to 4S Multispeciality Hospital in Gajuwaka. Passes through Beach Road, Major Junction, Gajuwaka. Approx 37.4 km, 117 mins."""
"VZG00030,Kailasagiri,4S Multispeciality Hospital,Gajuwaka,Gajuwaka Bus Stop,28KG,Express,""Kailasagiri, RK Beach, Kancharapalem, Gajuwaka"",33.0,104 mins,Rs.35,06:00,21:00,30,0.8,No,No,""APSRTC bus 28KG from Kailasagiri to 4S Multispeciality Hospital in Gajuwaka. Passes through Kailasagiri, Major Junction, Gajuwaka. Approx 33.0 km, 104 mins."""
"VZG00031,Gajuwaka,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,City Bus,""Gajuwaka Junction, Gajuwaka Market, Hospital Zone"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,No,No,""APSRTC bus 28 from Gajuwaka to A Plus Hospitals in Gajuwaka. Passes through Gajuwaka, Major Junction, Gajuwaka. Approx 1.5 km, 9 mins."""
"VZG00032,Kommadi,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,99,Semi-Express,""Kommadi, NAD Junction, Kancharapalem, Gajuwaka"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from Kommadi to A Plus Hospitals in Gajuwaka. Passes through Kommadi, Major Junction, Gajuwaka. Approx 12.4 km, 42 mins."""
"VZG00033,Madhurawada,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,99,Semi-Express,""Madhurawada, NAD Junction, Kancharapalem, Gajuwaka"",11.8,40 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from Madhurawada to A Plus Hospitals in Gajuwaka. Passes through Madhurawada, Major Junction, Gajuwaka. Approx 11.8 km, 40 mins."""
"VZG00034,PM Palem,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,99,Semi-Express,""PM Palem, Madhurawada, Kancharapalem, Gajuwaka"",11.0,38 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 99 from PM Palem to A Plus Hospitals in Gajuwaka. Passes through PM Palem, Major Junction, Gajuwaka. Approx 11.0 km, 38 mins."""
"VZG00035,MVP Colony,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""MVP Colony, Seethammadhara, Kancharapalem, Gajuwaka"",40.4,126 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from MVP Colony to A Plus Hospitals in Gajuwaka. Passes through MVP Colony, Major Junction, Gajuwaka. Approx 40.4 km, 126 mins."""
"VZG00036,Siripuram,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Siripuram, Jagadamba, Kancharapalem, Gajuwaka"",39.7,124 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Siripuram to A Plus Hospitals in Gajuwaka. Passes through Siripuram, Major Junction, Gajuwaka. Approx 39.7 km, 124 mins."""
"VZG00037,Dwaraka Nagar,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Dwaraka Nagar, Jagadamba, Kancharapalem, Gajuwaka"",41.7,130 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Dwaraka Nagar to A Plus Hospitals in Gajuwaka. Passes through Dwaraka Nagar, Major Junction, Gajuwaka. Approx 41.7 km, 130 mins."""
"VZG00038,Maddilapalem,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Maddilapalem, Seethammadhara, Kancharapalem, Gajuwaka"",44.5,138 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Maddilapalem to A Plus Hospitals in Gajuwaka. Passes through Maddilapalem, Major Junction, Gajuwaka. Approx 44.5 km, 138 mins."""
"VZG00039,NAD Junction,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,39,Semi-Express,""NAD Junction, Dondaparthy, Kancharapalem, Gajuwaka"",17.7,58 mins,Rs.25,05:30,22:00,30,0.8,No,No,""APSRTC bus 39 from NAD Junction to A Plus Hospitals in Gajuwaka. Passes through NAD Junction, Major Junction, Gajuwaka. Approx 17.7 km, 58 mins."""
"VZG00040,Seethammadhara,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Seethammadhara, Dondaparthy, Kancharapalem, Gajuwaka"",48.7,151 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Seethammadhara to A Plus Hospitals in Gajuwaka. Passes through Seethammadhara, Major Junction, Gajuwaka. Approx 48.7 km, 151 mins."""
"VZG00041,Jagadamba,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Jagadamba, Siripuram, Kancharapalem, Gajuwaka"",45.4,141 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Jagadamba to A Plus Hospitals in Gajuwaka. Passes through Jagadamba, Major Junction, Gajuwaka. Approx 45.4 km, 141 mins."""
"VZG00042,Asilmetta,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Asilmetta, Jagadamba, Kancharapalem, Gajuwaka"",44.9,139 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Asilmetta to A Plus Hospitals in Gajuwaka. Passes through Asilmetta, Major Junction, Gajuwaka. Approx 44.9 km, 139 mins."""
"VZG00043,Railway Station,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""Railway Station, RTC Complex, Kancharapalem, Gajuwaka"",44.2,137 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from Railway Station to A Plus Hospitals in Gajuwaka. Passes through Railway Station, Major Junction, Gajuwaka. Approx 44.2 km, 137 mins."""
"VZG00044,RTC Complex,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28,Express,""RTC Complex, Jagadamba, Kancharapalem, Gajuwaka"",44.5,138 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28 from RTC Complex to A Plus Hospitals in Gajuwaka. Passes through RTC Complex, Major Junction, Gajuwaka. Approx 44.5 km, 138 mins."""
"VZG00045,Airport,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,38A,Semi-Express,""Airport, Bhimli Road, Kancharapalem, Gajuwaka"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 38A from Airport to A Plus Hospitals in Gajuwaka. Passes through Airport, Major Junction, Gajuwaka. Approx 12.4 km, 42 mins."""
"VZG00046,Pendurthi,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,39P,City Bus,""Pendurthi, Marripalem, Kancharapalem, Gajuwaka"",7.9,28 mins,Rs.15,05:30,22:00,15,0.5,No,No,""APSRTC bus 39P from Pendurthi to A Plus Hospitals in Gajuwaka. Passes through Pendurthi, Major Junction, Gajuwaka. Approx 7.9 km, 28 mins."""
"VZG00047,Gopalapatnam,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,39G,Semi-Express,""Gopalapatnam, NAD Junction, Kancharapalem, Gajuwaka"",16.0,53 mins,Rs.25,05:30,22:00,30,0.8,No,No,""APSRTC bus 39G from Gopalapatnam to A Plus Hospitals in Gajuwaka. Passes through Gopalapatnam, Major Junction, Gajuwaka. Approx 16.0 km, 53 mins."""
"VZG00048,Kurmannapalem,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,39KN,Semi-Express,""Kurmannapalem, NAD Junction, Kancharapalem, Gajuwaka"",11.2,38 mins,Rs.20,05:30,22:00,20,0.5,No,No,""APSRTC bus 39KN from Kurmannapalem to A Plus Hospitals in Gajuwaka. Passes through Kurmannapalem, Major Junction, Gajuwaka. Approx 11.2 km, 38 mins."""
"VZG00049,Auto Nagar,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,400,City Bus,""Auto Nagar, Kancharapalem, Gajuwaka"",8.8,31 mins,Rs.15,05:30,22:00,20,0.5,No,No,""APSRTC bus 400 from Auto Nagar to A Plus Hospitals in Gajuwaka. Passes through Auto Nagar, Major Junction, Gajuwaka. Approx 8.8 km, 31 mins."""
"VZG00050,Steel Plant,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,400,City Bus,""Steel Plant, Gajuwaka, Kancharapalem, Gajuwaka"",4.4,18 mins,Rs.10,05:30,22:00,15,0.3,No,No,""APSRTC bus 400 from Steel Plant to A Plus Hospitals in Gajuwaka. Passes through Steel Plant, Major Junction, Gajuwaka. Approx 4.4 km, 18 mins."""
"VZG00051,Scindia,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28SC,Express,""Scindia, One Town, Kancharapalem, Gajuwaka"",46.4,144 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28SC from Scindia to A Plus Hospitals in Gajuwaka. Passes through Scindia, Major Junction, Gajuwaka. Approx 46.4 km, 144 mins."""
"VZG00052,One Town,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28OT,Express,""One Town, RTC Complex, Kancharapalem, Gajuwaka"",46.3,143 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28OT from One Town to A Plus Hospitals in Gajuwaka. Passes through One Town, Major Junction, Gajuwaka. Approx 46.3 km, 143 mins."""
"VZG00053,Poorna Market,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28PM,Express,""Poorna Market, One Town, Kancharapalem, Gajuwaka"",48.6,150 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28PM from Poorna Market to A Plus Hospitals in Gajuwaka. Passes through Poorna Market, Major Junction, Gajuwaka. Approx 48.6 km, 150 mins."""
"VZG00054,RK Beach,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28RK,Express,""RK Beach, Siripuram, Kancharapalem, Gajuwaka"",37.4,117 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28RK from RK Beach to A Plus Hospitals in Gajuwaka. Passes through RK Beach, Major Junction, Gajuwaka. Approx 37.4 km, 117 mins."""
"VZG00055,Rushikonda,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,99R,Semi-Express,""Rushikonda, Kommadi, Kancharapalem, Gajuwaka"",17.6,57 mins,Rs.25,06:00,21:00,30,0.8,No,No,""APSRTC bus 99R from Rushikonda to A Plus Hospitals in Gajuwaka. Passes through Rushikonda, Major Junction, Gajuwaka. Approx 17.6 km, 57 mins."""
"VZG00056,Lawson's Bay,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28LB,Express,""Lawson's Bay, Siripuram, Kancharapalem, Gajuwaka"",29.6,93 mins,Rs.35,06:00,21:00,30,0.8,No,No,""APSRTC bus 28LB from Lawson's Bay to A Plus Hospitals in Gajuwaka. Passes through Lawson's Bay, Major Junction, Gajuwaka. Approx 29.6 km, 93 mins."""
"VZG00057,Hanumanthuwaka,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28H,Express,""Hanumanthuwaka, Madhavadhara, Kancharapalem, Gajuwaka"",54.4,168 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28H from Hanumanthuwaka to A Plus Hospitals in Gajuwaka. Passes through Hanumanthuwaka, Major Junction, Gajuwaka. Approx 54.4 km, 168 mins."""
"VZG00058,Arilova,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,99AR,Semi-Express,""Arilova, NAD Junction, Kancharapalem, Gajuwaka"",18.7,61 mins,Rs.25,05:30,22:00,30,0.8,No,No,""APSRTC bus 99AR from Arilova to A Plus Hospitals in Gajuwaka. Passes through Arilova, Major Junction, Gajuwaka. Approx 18.7 km, 61 mins."""
"VZG00059,Beach Road,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28BR,Express,""Beach Road, Siripuram, Kancharapalem, Gajuwaka"",37.4,117 mins,Rs.40,05:30,22:00,30,0.8,No,No,""APSRTC bus 28BR from Beach Road to A Plus Hospitals in Gajuwaka. Passes through Beach Road, Major Junction, Gajuwaka. Approx 37.4 km, 117 mins."""
"VZG00060,Kailasagiri,A Plus Hospitals,Gajuwaka,Gajuwaka Junction,28KG,Express,""Kailasagiri, RK Beach, Kancharapalem, Gajuwaka"",33.0,104 mins,Rs.35,06:00,21:00,30,0.8,No,No,""APSRTC bus 28KG from Kailasagiri to A Plus Hospitals in Gajuwaka. Passes through Kailasagiri, Major Junction, Gajuwaka. Approx 33.0 km, 104 mins."""
"VZG00061,Gajuwaka,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,28,City Bus,""Gajuwaka Junction, Gajuwaka Market, Hospital Zone"",1.5,9 mins,Rs.10,05:30,22:00,10,0.3,Yes,No,""APSRTC bus 28 from Gajuwaka to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through Gajuwaka, Major Junction, Gajuwaka. Approx 1.5 km, 9 mins."""
"VZG00062,Kommadi,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,99,Semi-Express,""Kommadi, NAD Junction, Kancharapalem, Gajuwaka"",12.4,42 mins,Rs.20,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 99 from Kommadi to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through Kommadi, Major Junction, Gajuwaka. Approx 12.4 km, 42 mins."""
"VZG00063,Madhurawada,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,99,Semi-Express,""Madhurawada, NAD Junction, Kancharapalem, Gajuwaka"",11.8,40 mins,Rs.20,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 99 from Madhurawada to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through Madhurawada, Major Junction, Gajuwaka. Approx 11.8 km, 40 mins."""
"VZG00064,PM Palem,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,99,Semi-Express,""PM Palem, Madhurawada, Kancharapalem, Gajuwaka"",11.0,38 mins,Rs.20,05:30,22:00,20,0.5,Yes,No,""APSRTC bus 99 from PM Palem to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through PM Palem, Major Junction, Gajuwaka. Approx 11.0 km, 38 mins."""
"VZG00065,MVP Colony,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,28,Express,""MVP Colony, Seethammadhara, Kancharapalem, Gajuwaka"",40.4,126 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from MVP Colony to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through MVP Colony, Major Junction, Gajuwaka. Approx 40.4 km, 126 mins."""
"VZG00066,Siripuram,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Siripuram, Jagadamba, Kancharapalem, Gajuwaka"",39.7,124 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Siripuram to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through Siripuram, Major Junction, Gajuwaka. Approx 39.7 km, 124 mins."""
"VZG00067,Dwaraka Nagar,Abhaya Heart & Multi Speciality Care,Gajuwaka,Gajuwaka Bus Stop,28,Express,""Dwaraka Nagar, Jagadamba, Kancharapalem, Gajuwaka"",41.7,130 mins,Rs.40,05:30,22:00,30,0.8,Partial,No,""APSRTC bus 28 from Dwaraka Nagar to Abhaya Heart & Multi Speciality Care in Gajuwaka. Passes through Dwaraka Nagar, Major Junction, Gajuwaka. Approx 41.7 km, 130 mins."""
