Restaurant Name,Address,City,Category,Rating,Reviews Count,Speciality,Budget Min (INR),Budget Max (INR),Expected Budget Range
Sri Maridimamba Tiffins,p7px+35w,Visakhapatnam,Italian restaurant,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Paidimamba Tiffin Center,"44-8-17/2, 44-8-17/2, 44-8-13/3",Visakhapatnam,Fast food restaurant,5.0,3,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Tarun Sai,p7jw+g46,Visakhapatnam,Restaurant,4.0,7,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Nbk'S (Food Court),p7jx+6v4,Visakhapatnam,Takeout Restaurant,4.1,27,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Gluttons Garage,"7-5-182, beach rd, beside aqua sports complex",Visakhapatnam,Continental restaurant,4.0,2387,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Junnu Fast Foods,"1, akkayyapalem main rd",Visakhapatnam,Fast food restaurant,,0,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Bhimavaram Raju Gari Chepala Pulusu,"45-40-23, akkayyapalem main rd",Visakhapatnam,Restaurant,4.4,24,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Hotplate By Railofy- Order Food Delivery In Train In Visakhapatnam,"40-2-79, 40-2-79, kailasapuram rd",Visakhapatnam,Delivery Restaurant,4.7,104,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Sls Chicken Pakodi,80 feet rd thatichetlapalem bazar,Visakhapatnam,Restaurant,4.1,157,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Nellore Vari Kalyani'S Kitchen,45-47-20,Visakhapatnam,Vegetarian restaurant,4.0,1,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
Halal Fried Chicken (Hfc),p8h4+4mm,Visakhapatnam,Fast food restaurant,4.7,48,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Jawahar Nagar Road,"srinivasa nilayam, 49-33-11",Visakhapatnam,Breakfast restaurant,,0,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Flying Spaghetti Monster,"g2 sai dakshita complex g2 waltair main road, club main gate",Visakhapatnam,Italian restaurant,4.2,3515,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Sarigama Restaurant And Bar,"p8f5+w2r, complex complex",Visakhapatnam,Bar,3.2,21,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Chickpet Donne Biryani House - Since 1975 Vizag Dwaraka Nagar,"d no 47-14-1 ground floor sai shopping center dawaraka nagar, station road, opposite chandu sweets building",Visakhapatnam,Biryani restaurant,2.5,222,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Skml Fast Food,,Visakhapatnam,Fast food restaurant,4.0,36,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Vijayawada'S Raju Gari Ruchulu,"chillapali complex, 47-11-24, 1st ln, beside ravindra bharathi school",Visakhapatnam,Biryani restaurant,4.5,3340,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Indian Family Restaurant & Dhaba,,Visakhapatnam,Restaurant,,0,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Tasty Bites Food Court,,Visakhapatnam,Restaurant,5.0,6,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Konaseema Putharekulu,6th ln,Visakhapatnam,Restaurant,4.7,3,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Tiffin Center,"door-no 49, 24 25, sankara matam rd, beside ramalingeswara swamy temple",Visakhapatnam,Breakfast restaurant,5.0,1,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Mini Cafe Military,p8p4+9wm,Visakhapatnam,South Indian restaurant,2.3,15,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Rajesh Home,36-12-2,Visakhapatnam,Indian restaurant,,0,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Alfa Foods,"52-1-58, gnanapuaram main rd, near andhra bank",Visakhapatnam,Takeout Restaurant,3.7,37,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
Ssr Bawarchi Restaurant,near kfc,Visakhapatnam,Breakfast restaurant,3.4,284,"Morning breakfast specials: tiffins, parathas & hot beverages",40,180,Rs.40 - Rs.180 per person
Jessica'S Kitchen,,Visakhapatnam,Restaurant,3.0,2,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Diamond Tiffins & Noodles,door no. 40-15-44 kancharapalem railway overbridge urvari gandhinagar,Visakhapatnam,Breakfast restaurant,4.5,14,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Sukhi Bhava Fast Food Center,p7mg+8gf,Visakhapatnam,Fast food restaurant,4.7,10,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
The Biryani Hub,opposite m convention,Visakhapatnam,Biryani restaurant,,0,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Helapuri Restaurant,"10-11-15/1, beside andhra bank asillameta branch, near bus stop",Visakhapatnam,North Indian restaurant,3.6,3715,"North Indian curries, roti, dal makhani, paneer dishes & lassi",120,450,Rs.120 - Rs.450 per person
Curry Point,"ysr complex, main road",Visakhapatnam,Restaurant,5.0,2,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Premium Home Bakery,kancherapalem durganagar arch,Visakhapatnam,Restaurant,4.8,4,"Fresh baked goods, cakes, pastries, cookies & sweets",50,300,Rs.50 - Rs.300 per person
4 Seasons Bakery & Restaurant,"10-1-12, krishna kamal enclave, telugu talli flyover",Visakhapatnam,Pizza restaurant,4.1,1496,"Pizzas, pasta, garlic bread & Italian-style fast food",150,600,Rs.150 - Rs.600 per person
Tfc Tollywood Food Court,"48-2-4/1/1, beside sai baba temple, reddy hospital road, rama talkies rd",Visakhapatnam,Fast food restaurant,3.9,57,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
The Spicy Venue Restaurant,siripuram cir,Visakhapatnam,Biryani restaurant,4.1,7487,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
The Rasoi Veg Thali,"10-4-17, opp. gvmc in gate",Visakhapatnam,Indian restaurant,4.1,774,"Pure vegetarian meals, South Indian & North Indian veg dishes",80,300,Rs.80 - Rs.300 per person
Chiru Food Court,,Visakhapatnam,Restaurant,2.2,11,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
Srinivasa Chicken Centre,"36-91, urvasi theater, 75/2, bowdra ring rd, near bus stop",Visakhapatnam,Chicken restaurant,4.0,4,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
East Godavari Ruchulu,"364676, main road",Visakhapatnam,Restaurant,5.0,1,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Subbayya Gari Hotel Visakhapatnam,"savitri summit d-n0:47-3-12, dwaraka nagar 5th lane, near diamond park",Visakhapatnam,South Indian restaurant,4.5,16764,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Anupama Hotel,"p7mg+3xp, bowdra ring rd",Visakhapatnam,Box lunch supplier,3.7,79,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Siddi My South Indian Tiffins,"shop no. 1 & 2, gvmc complex, opp. diamond park junction, near tandoori inn",Visakhapatnam,Country food restaurant,4.3,841,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Pinkys Kitchen,p8h6+rc5,Visakhapatnam,Indian restaurant,4.3,36,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Helapuri Restaurant And Buffet,diamond park junction,Visakhapatnam,Buffet restaurant,3.3,9,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Fruit Age,"p7gx+wg4, 43-9-153, opposite rajamundry saree mandir, beside bakers paradise",Visakhapatnam,Juice shop,4.1,22,"Fresh fruit juices, milkshakes & health beverages",30,150,Rs.30 - Rs.150 per person
Foodex,sampath vinayaka temple rd,Visakhapatnam,Fast food restaurant,4.1,1060,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Jummy Biryani Point,"p7mh+h8c 36-47-11, kotha vada st",Visakhapatnam,Takeout Restaurant,4.0,198,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
New Pavan Restaurant And Bar,"ward number. 36, bowdra ring rd, behind andhra bank",Visakhapatnam,Bar,3.4,69,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Manikanda Sweets - Bakery - Restaurant,"railway station rd, opp drm office - waltair division",Visakhapatnam,Bakery,3.8,87,"Fresh baked goods, cakes, pastries, cookies & sweets",50,300,Rs.50 - Rs.300 per person
Food Court,"h, 44-42-3/11, nandagiri nagar rd",Visakhapatnam,Fast food restaurant,,0,Multi-cuisine food court with quick bites & combo meals,80,300,Rs.80 - Rs.300 per person
The Cloud Kitchen Company,"49-42-35/3, near masjid-e-noor",Visakhapatnam,Italian restaurant,4.3,7,"Continental & Italian cuisine: pasta, grills, salads & mocktails",200,800,Rs.200 - Rs.800 per person
Vishkhapatnam,"sai ratna hotel, diamond park rd",Visakhapatnam,Restaurant,4.0,11,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Hyde Kitchen,rtc complex rd,Visakhapatnam,Fast food restaurant,4.6,37,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Arav'S Kitchen,"d.no 46-15-24/1, dondaparthi, devangulavari street",Visakhapatnam,Takeout Restaurant,3.0,4,"Quick takeaway meals, combos & packaged food",80,300,Rs.80 - Rs.300 per person
New Muntaj Biryani,,Visakhapatnam,Biryani restaurant,2.8,143,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Pandit Marriage Garden,"near, railway new colony rd",Visakhapatnam,American restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
R Annapurna Canteen,"p8f4+jm9, rtc complex inner road",Visakhapatnam,South Indian restaurant,,0,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Waltair Mess And Caterers,"h.no:43-9-140/4, srikanya road, subbalaxmi nagar-2, tsn nagar, beside tata motors",Visakhapatnam,South Indian restaurant,4.8,52,"South Indian breakfast & tiffins: idly, dosa, vada, upma & filter coffee",40,200,Rs.40 - Rs.200 per person
Imthiyaz,45-1-27/1 mtcpalem,Visakhapatnam,Small plates restaurant,3.5,8,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Xpress Bucket Biryani,"to complex, d.no 9-1-233, dar reddy plaza opposite rama talkies theatre cbm compound rama talkies, route",Visakhapatnam,Biryani restaurant,4.1,87,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Erukumamba Catering Servicing,"p7hx+7mx, akkayyapalem main rd",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Foodies Fine Dining,"p8h6+8jv, sri chaitanya raman bhavan rd",Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Abc Restaurant,,Visakhapatnam,Restaurant,,0,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Biriyani Street,"1st floor, hotel royal forte lane, near, rtc complex rd, opp. gvmc out gate",Visakhapatnam,Biryani restaurant,3.8,6,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Bombay Pav Bhaji,"p8f4+9hw, rtc complex inner road",Visakhapatnam,Restaurant,2.0,1,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Makboos Cafe',"g-1, saatvika's makboos biryani restaurant, rednam plaza, c/o, 2nd ln",Visakhapatnam,Restaurant,5.0,3,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Oven Story,"48/12/9,1st floor, potluri castle, dwaraka nagar, visakhapatnam","Vijayawada, Visakhapatnam",Pizza restaurant,2.7,19,"Pizzas, pasta, garlic bread & Italian-style fast food",150,600,Rs.150 - Rs.600 per person
Tastewell Frankies,"10-15-1, beside vinis shopping mall, near latha grand",Visakhapatnam,Restaurant,4.6,5,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Ocean Bites Cloud Kitchen,"p8h4+4jw, main rd, vizag - srikakulam hwy",Visakhapatnam,Fast food restaurant,5.0,5,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
The Pulao Bowl,"saatvika's makboos biryani restaurant, rednam plaza, c/o, 2nd ln",Visakhapatnam,Restaurant,3.9,27,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Jayashree Restaurant,"p8g4+3xh, 1st ln",Visakhapatnam,Fast food restaurant,,0,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Mouli Sai,,Visakhapatnam,Restaurant,4.0,4,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Raju Gari Logili,"near, rama talkies rd",Visakhapatnam,Restaurant,3.5,11,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Street Food Meals Center,"47-9-28, 19/1, 3rd ln, near divisional office",Visakhapatnam,Indian restaurant,5.0,1,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Visakha Fast Food & Juice Center,"anuratna complex, # 47-7-28, seethammapeta main rd",Visakhapatnam,Fast food restaurant,3.9,67,"Fresh fruit juices, milkshakes & health beverages",30,150,Rs.30 - Rs.150 per person
The Chai Grill,"chai grill, hotel dwaraka inn, station road, beside reliance smart bazaar",Visakhapatnam,Restaurant,2.5,6,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Kitchen Addiction,"3rd floor, jos alukkas building, opp. sampath vinayaka temple road",Visakhapatnam,Restaurant,4.5,319,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Yummy Star,"48, vegetable market rd",Visakhapatnam,Restaurant,4.6,22,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Kerala Biryani'S,"9_1_243, asilmetta, beside aarif opticians",Visakhapatnam,Kerala restaurant,3.5,36,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Mr.Bombay Burger Cafe,"bajar road, beside rama talkies",Visakhapatnam,Hamburger restaurant,4.7,245,"Burgers, wraps, sandwiches & continental fast food",80,300,Rs.80 - Rs.300 per person
Kfc,47/13/1 revenue ward 15,Visakhapatnam,Restaurant,4.1,690,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Sarovar Hotel,"47-11-17, 1st ln, near visakhapatnam",Visakhapatnam,Hotel,3.4,674,"Full-service dining with multi-cuisine buffet, meals & beverages",200,700,Rs.200 - Rs.700 per person
Spicy Dakshin Restaurant,"sreemukha complex, 48-9-1, 1st ln, beside budhil park",Visakhapatnam,Family restaurant,3.0,3,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Durga Restaurant & Bar,"p8f5+w7j, waltair station approach rd",Visakhapatnam,Bar,3.6,85,"Cocktails, mocktails, beverages & bar snacks",300,1200,Rs.300 - Rs.1200 per person
Burgerito,"shop 24,25, ground floor, arunodaya complex, 1st ln",Visakhapatnam,Fast food restaurant,3.5,29,"Burgers, wraps, sandwiches & continental fast food",80,300,Rs.80 - Rs.300 per person
Rajkumari Restaurant,"school building, cbse road, near timpany road",Visakhapatnam,Restaurant,4.3,3,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
The Good Apple,"p8h3+ccr, sankara matam rd",Visakhapatnam,Indian restaurant,4.2,64,"Indian cuisine with rice, curries, dals & traditional meals",100,400,Rs.100 - Rs.400 per person
Drunken Monkey,"1st floor vinayagar kosala, beside sarvani sweets",Visakhapatnam,Cafe,4.0,1979,"Cafe beverages, snacks, light meals & desserts",80,350,Rs.80 - Rs.350 per person
Pizza Outlets,10-41/1,Visakhapatnam,Restaurant,3.3,8,"Pizzas, pasta, garlic bread & Italian-style fast food",150,600,Rs.150 - Rs.600 per person
4 Am Biriyani,"gvmc office back side, near 4 am biriyani",Visakhapatnam,Biryani restaurant,3.5,318,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Mcdonald'S,"ground floor, 31, h. no 47-11-28,47-11-28(1) ,47-13-8,47-13-8/2, near diamond park road",Visakhapatnam,Fast food restaurant,4.9,1251,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Sampat Sai Mess (Aunty Mess),"rtc complex, 48-5-51, 1st ln, beside master homeo homes",Visakhapatnam,Restaurant,4.5,40,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
New Tandoori Inn,"municipal complex, diamond park jct",Visakhapatnam,Biryani restaurant,3.6,3097,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Sri Venkateshwara Garden Restaurant,"46-15-38, railway new colony rd,dondaparithy road, near, diamond park rd",Visakhapatnam,Biryani restaurant,3.7,503,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
Sri Mani Meghana Restaurant,"48-1-34, reddy hospital rd",Visakhapatnam,Chicken restaurant,4.0,12,"Grilled chicken, kebabs, chicken curries & tandoor items",120,500,Rs.120 - Rs.500 per person
Vijayawada Vari Special Items,"p8c3+p67, diamond park rd",Visakhapatnam,Fast food restaurant,3.7,10,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Gravity Roof Top,p8g3+g9q bajal electronics,Visakhapatnam,Fast food restaurant,4.8,10,"Fast food combos: burgers, fried snacks, rolls & soft drinks",60,250,Rs.60 - Rs.250 per person
Embers Multi-Cuisine Restaurant And Bar,"hotel meghalaya ram, waltair main rd",Visakhapatnam,Family restaurant,4.1,28,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
Bhale Biryani Diamond Park,"sonovision, near, diamond park rd",Visakhapatnam,Biryani restaurant,4.4,308,"Hyderabadi & Andhra-style biryani, kebabs & raita",100,400,Rs.100 - Rs.400 per person
SwethaS Food Hub,"shop no, 2, 1st ln",Visakhapatnam,Restaurant,4.8,22,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Sweet Truth Dwaraka Vizag,"1st floor, potluri castle, 48/12/9","Vijayawada, Visakhapatnam",Dessert restaurant,1.8,5,"Fresh baked goods, cakes, pastries, cookies & sweets",50,300,Rs.50 - Rs.300 per person
Sri Varasiddi Vinayaka Fast Food,,Visakhapatnam,Restaurant,4.4,8,"Multi-cuisine restaurant with meals, snacks & beverages",80,350,Rs.80 - Rs.350 per person
Qismat Restaurant,"80501, prakasham rd",Visakhapatnam,Restaurant,4.8,26,Highly-rated multi-cuisine dining with quality meals & beverages,150,500,Rs.150 - Rs.500 per person
Akshaya Royal Restaurant,"49-22-9, railway new colony rd",Visakhapatnam,Family restaurant,4.2,16,Family-style dining with multi-cuisine Indian meals & combos,150,500,Rs.150 - Rs.500 per person
